It took 4.01598596572876 seconds to calculate the Mandelbrot graph.
It took 0.10479903221130371 seconds to dump the image.
         1272295 function calls (1250243 primitive calls) in 4.610 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 core.py:1103(enable_packrat)
       65    0.000    0.000    0.000    0.000 results.py:269(__bool__)
        1    0.000    0.000    0.000    0.000 core.py:2420(__init__)
        1    0.000    0.000    0.000    0.000 pathlib.py:276(__getitem__)
       12    0.000    0.000    0.000    0.000 axis.py:1670(get_minor_ticks)
        3    0.000    0.000    0.000    0.000 figure.py:2677(set_layout_engine)
       41    0.000    0.000    0.000    0.000 version.py:207(<genexpr>)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:117(splitext)
        1    0.000    0.000    0.000    0.000 <frozen genericpath>:27(isfile)
        1    0.000    0.000    0.000    0.000 ipaddress.py:671(_BaseNetwork)
       22    0.000    0.000    0.000    0.000 util.py:197(__init__)
      113    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
        1    0.000    0.000    0.000    0.000 quiver.py:915(Barbs)
      128    0.000    0.000    0.000    0.000 backend_bases.py:164(close_group)
        1    0.000    0.000    0.000    0.000 collections.py:1967(EllipseCollection)
       75    0.000    0.000    0.000    0.000 <frozen _collections_abc>:435(__subclasshook__)
       78    0.000    0.000    0.000    0.000 _internal.py:904(<genexpr>)
       12    0.000    0.000    0.000    0.000 core.py:1328(_replace_dtype_fields_recursive)
       10    0.000    0.000    0.000    0.000 enum.py:1394(_iter_member_by_value_)
        1    0.000    0.000    0.000    0.000 _polynomial_impl.py:1080(poly1d)
        1    0.000    0.000    0.000    0.000 uuid.py:85(UUID)
        1    0.000    0.000    0.000    0.000 collections.py:2135(TriMesh)
       42    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
       22    0.000    0.000    0.000    0.000 _type_aliases.py:118(<lambda>)
       17    0.000    0.000    0.000    0.000 inspect.py:2824(__hash__)
       86    0.000    0.000    0.000    0.000 backend_bases.py:763(get_dashes)
        9    0.000    0.000    0.000    0.000 deprecation.py:152(_deprecated_property)
        1    0.000    0.000    0.000    0.000 gridspec.py:736(__init__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1914(IPv6Address)
        1    0.000    0.000    0.000    0.000 mathtext.py:37(MathTextParser)
        2    0.000    0.000    0.000    0.000 enum.py:1677(global_enum)
        1    0.000    0.000    0.000    0.000 core.py:321(condition_as_parse_action)
        1    0.000    0.000    0.000    0.000 rcsetup.py:281(_validate_toolbar)
        1    0.000    0.000    0.000    0.000 defmatrix.py:72(matrix)
       24    0.000    0.000    0.000    0.000 deprecation.py:97(deprecated)
        2    0.000    0.000    0.000    0.000 colors.py:2141(__init__)
        1    0.000    0.000    0.000    0.000 pickle.py:401(_Pickler)
        1    0.000    0.000    0.000    0.000 cbook.py:317(_remove_proxy)
        1    0.000    0.000    0.000    0.000 pathlib.py:826(Path)
        2    0.000    0.000    0.000    0.000 Image.py:588(_new)
        8    0.000    0.000    0.000    0.000 _nbit_base.py:52(__init_subclass__)
        3    0.000    0.000    0.000    0.000 pyplot.py:1095(gcf)
        3    0.000    0.000    0.000    0.000 artist.py:766(set_clip_box)
       17    0.000    0.000    0.000    0.000 cbook.py:158(__setitem__)
        1    0.000    0.000    0.000    0.000 core.py:3750(__init__)
       86    0.000    0.000    0.000    0.000 backend_bases.py:918(set_url)
        4    0.000    0.000    0.000    0.000 {built-in method posix._path_normpath}
        3    0.000    0.000    0.000    0.000 core.py:708(add_parse_action)
        2    0.000    0.000    0.000    0.000 <frozen os>:694(__delitem__)
        1    0.000    0.000    0.000    0.000 patches.py:990(PathPatch)
       13    0.000    0.000    0.000    0.000 mixins.py:38(_inplace_binary_method)
        2    0.000    0.000    0.000    0.000 {built-in method posix.mkdir}
      105    0.000    0.000    0.000    0.000 enum.py:241(__set_name__)
       15    0.000    0.000    0.000    0.000 enum.py:816(__iter__)
        7    0.000    0.000    0.000    0.000 patches.py:349(set_antialiased)
        1    0.000    0.000    0.000    0.000 numbers.py:319(Integral)
       10    0.000    0.000    0.000    0.000 axis.py:2339(_make_getset_interval)
       47    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       34    0.000    0.000    0.000    0.000 core.py:3493(dtype)
        1    0.000    0.000    0.000    0.000 art3d.py:225(Line3D)
        2    0.000    0.000    0.000    0.000 <frozen os>:688(__setitem__)
       31    0.000    0.000    0.000    0.000 warnings.py:456(__init__)
        1    0.000    0.000    0.000    0.000 core.py:3039(Regex)
        1    0.000    0.000    0.000    0.000 backend_bases.py:150(__init__)
        1    0.000    0.000    0.000    0.000 _triinterpolate.py:232(LinearTriInterpolator)
       20    0.000    0.000    0.000    0.000 inspect.py:3082(<genexpr>)
       55    0.000    0.000    0.000    0.000 colors.py:414(<genexpr>)
        1    0.000    0.000    0.000    0.000 transforms.py:1155(LockableBbox)
       25    0.000    0.000    0.000    0.000 cbook.py:129(__hash__)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x79ed5a2928e0}
        7    0.000    0.000    0.000    0.000 legend_handler.py:171(__init__)
        1    0.000    0.000    0.000    0.000 ImageChops.py:1(<module>)
      181    0.000    0.000    0.000    0.000 <frozen _collections_abc>:868(__iter__)
      102    0.000    0.000    0.000    0.000 enum.py:942(<lambda>)
        1    0.000    0.000    0.000    0.000 numbers.py:172(Real)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
        1    0.000    0.000    0.000    0.000 _common.py:149(_tzinfo)
        1    0.000    0.000    0.000    0.000 figure.py:3228(clear)
        5    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 collections.py:2352(QuadMesh)
        1    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.fill}
        1    0.000    0.000    0.000    0.000 core.py:5959(__init__)
        2    0.000    0.000    0.000    0.000 tokenize.py:376(read_or_stop)
       86    0.000    0.000    0.000    0.000 backend_bases.py:800(get_snap)
        5    0.000    0.000    0.000    0.000 rcsetup.py:237(_validate_pathlike)
        1    0.000    0.000    0.000    0.000 dviread.py:821(PsfontsMap)
        4    0.000    0.000    0.000    0.000 registry.py:202(is_valid_backend)
       17    0.000    0.000    0.000    0.000 enum.py:1188(_generate_next_value_)
        4    0.000    0.000    0.000    0.000 legend_handler.py:214(__init__)
        2    0.000    0.000    0.000    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
       57    0.000    0.000    0.000    0.000 __init__.py:266(<genexpr>)
        1    0.000    0.000    0.000    0.000 tz.py:41(tzutc)
        1    0.000    0.000    0.000    0.000 __init__.py:592(__init__)
       29    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 JpegPresets.py:1(<module>)
        1    0.000    0.000    0.000    0.000 transforms.py:1276(Transform)
       14    0.000    0.000    0.000    0.000 _binary.py:111(o32be)
       14    0.000    0.000    0.000    0.000 dataclasses.py:857(_set_qualname)
       60    0.000    0.000    0.000    0.000 markers.py:449(_set_nothing)
        5    0.000    0.000    0.000    0.000 typing.py:1415(__mro_entries__)
       30    0.000    0.000    0.000    0.000 core.py:699(<genexpr>)
       46    0.000    0.000    0.000    0.000 <frozen _collections_abc>:341(__subclasshook__)
       44    0.000    0.000    0.000    0.000 typing.py:2786(<genexpr>)
        2    0.000    0.000    0.000    0.000 selectors.py:588(_can_use)
        1    0.000    0.000    0.000    0.000 _secondary_axes.py:12(SecondaryAxis)
       68    0.000    0.000    0.000    0.000 {built-in method _warnings._filters_mutated}
        1    0.000    0.000    0.000    0.000 ticker.py:397(ScalarFormatter)
       56    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 backend_agg.py:362(FigureCanvasAgg)
        1    0.000    0.000    0.000    0.000 tempfile.py:824(SpooledTemporaryFile)
       18    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        1    0.000    0.000    0.000    0.000 art3d.py:104(Text3D)
        1    0.000    0.000    0.000    0.000 colorizer.py:38(Colorizer)
        5    0.000    0.000    0.000    0.000 functools.py:841(_is_union_type)
        6    0.000    0.000    0.000    0.000 functools.py:845(_is_valid_dispatch_type)
        1    0.000    0.000    0.000    0.000 {method 'dot' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.000    0.000 cbook.py:824(__contains__)
        1    0.000    0.000    0.000    0.000 core.py:80(__compat__)
      110    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
        1    0.000    0.000    0.000    0.000 calendar.py:94(_localized_month)
        1    0.000    0.000    0.000    0.000 _common.py:21(package_to_anchor)
        2    0.000    0.000    0.000    0.000 artist.py:1105(set_label)
        2    0.000    0.000    0.000    0.000 dataclasses.py:428(_fields_in_init_order)
       86    0.000    0.000    0.000    0.000 backend_bases.py:721(restore)
        4    0.000    0.000    0.000    0.000 <frozen _collections_abc>:848(__len__)
       86    0.000    0.000    0.000    0.000 backend_bases.py:960(get_hatch_linewidth)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:459(__call__)
        1    0.000    0.000    0.000    0.000 figure.py:2214(SubFigure)
       20    0.000    0.000    0.000    0.000 colors.py:237(_has_alpha_channel)
      134    0.000    0.000    0.000    0.000 six.py:93(__init__)
       25    0.000    0.000    0.000    0.000 ipaddress.py:431(_ip_int_from_prefix)
       86    0.000    0.000    0.000    0.000 backend_bases.py:941(get_hatch)
        3    0.000    0.000    0.000    0.000 colors.py:1522(__init__)
        3    0.000    0.000    0.000    0.000 weakref.py:495(popitem)
        1    0.000    0.000    0.000    0.000 _factories.py:56(__init__)
        1    0.000    0.000    0.000    0.000 _pylab_helpers.py:9(Gcf)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1611(_BaseV6)
        1    0.000    0.000    0.000    0.000 _array_utils_impl.py:1(<module>)
       51    0.000    0.000    0.000    0.000 text.py:606(set_wrap)
       10    0.000    0.000    0.000    0.000 {built-in method zlib.crc32}
       86    0.000    0.000    0.000    0.000 backend_bases.py:952(get_hatch_color)
       34    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
       20    0.000    0.000    0.000    0.000 core.py:3509(shape)
        1    0.000    0.000    0.000    0.000 subprocess.py:695(_use_posix_spawn)
        6    0.000    0.000    0.000    0.000 dataclasses.py:437(_tuple_str)
        1    0.000    0.000    0.000    0.000 _factories.py:26(__init__)
       86    0.000    0.000    0.000    0.000 backend_bases.py:968(get_sketch_params)
       40    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
        9    0.000    0.000    0.000    0.000 <frozen _collections_abc>:407(__subclasshook__)
       12    0.000    0.000    0.000    0.000 ticker.py:1818(__call__)
        2    0.000    0.000    0.000    0.000 decoder.py:284(__init__)
        1    0.000    0.000    0.000    0.000 _base.py:1826(set_box_aspect)
        1    0.000    0.000    0.000    0.000 collections.py:1260(FillBetweenPolyCollection)
        1    0.000    0.000    0.000    0.000 figure.py:1702(sca)
       46    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
        5    0.000    0.000    0.000    0.000 <frozen _collections_abc>:827(values)
        1    0.000    0.000    0.000    0.000 figure.py:3328(add_axobserver)
       34    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
        2    0.000    0.000    0.000    0.000 scale.py:718(scale_factory)
        1    0.000    0.000    0.000    0.000 axis.py:2369(XAxis)
       11    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 rcsetup.py:311(_validate_color_or_linecolor)
        6    0.000    0.000    0.000    0.000 colors.py:207(_sanitize_extrema)
        1    0.000    0.000    0.000    0.000 _nbit.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _index_tricks_impl.py:328(AxisConcatenator)
        1    0.000    0.000    0.000    0.000 socket.py:215(socket)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1487(IPv4Network)
        7    0.000    0.000    0.000    0.000 core.py:2611(_arraymethod)
       11    0.000    0.000    0.000    0.000 typing.py:1070(<genexpr>)
        1    0.000    0.000    0.000    0.000 ticker.py:2042(MaxNLocator)
        1    0.000    0.000    0.000    0.000 figure.py:965(clear)
        3    0.000    0.000    0.000    0.000 legend_handler.py:433(__init__)
       19    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
       46    0.000    0.000    0.000    0.000 dataclasses.py:461(<genexpr>)
        6    0.000    0.000    0.000    0.000 inspect.py:1456(formatannotation)
       48    0.000    0.000    0.000    0.000 artist.py:661(get_sketch_params)
       30    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
       74    0.000    0.000    0.000    0.000 util.py:245(no_escape_re_range_char)
        6    0.000    0.000    0.000    0.000 rcsetup.py:185(_make_type_validator)
        1    0.000    0.000    0.000    0.000 _mathtext.py:434(BakomaFonts)
        1    0.000    0.000    0.000    0.000 testing.py:126(TestParseResultsAsserts)
        1    0.000    0.000    0.000    0.000 __init__.py:21(__deprecated_private_func)
       40    0.000    0.000    0.000    0.000 axis.py:500(locator)
        6    0.000    0.000    0.000    0.000 patches.py:521(set_joinstyle)
        1    0.000    0.000    0.000    0.000 tz.py:132(tzoffset)
       96    0.000    0.000    0.000    0.000 enum.py:1273(__deepcopy__)
        5    0.000    0.000    0.000    0.000 __init__.py:168(check_getitem)
       33    0.000    0.000    0.000    0.000 core.py:4695(recurse)
        2    0.000    0.000    0.000    0.000 core.py:3613(_generateDefaultName)
        1    0.000    0.000    0.000    0.000 getlimits.py:384(finfo)
        2    0.000    0.000    0.000    0.000 six.py:194(find_spec)
       12    0.000    0.000    0.000    0.000 cbook.py:2313(_is_torch_array)
        1    0.000    0.000    0.000    0.000 colors.py:2119(Normalize)
        1    0.000    0.000    0.000    0.000 core.py:4918(__init__)
       56    0.000    0.000    0.000    0.000 cbook.py:1643(<lambda>)
        2    0.000    0.000    0.000    0.000 tokenize.py:382(find_cookie)
        1    0.000    0.000    0.000    0.000 gridspec.py:26(GridSpecBase)
        2    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
       42    0.000    0.000    0.000    0.000 core.py:4405(<genexpr>)
        1    0.000    0.000    0.000    0.000 colors.py:680(Colormap)
        1    0.000    0.000    0.000    0.000 contour.py:551(ContourSet)
        1    0.000    0.000    0.000    0.000 random.py:110(Random)
        3    0.000    0.000    0.000    0.000 {built-in method posix.uname}
       22    0.000    0.000    0.000    0.000 typing.py:2846(_namedtuple_mro_entries)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
        1    0.000    0.000    0.000    0.000 pathlib.py:1061(_scandir)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:335(add_text)
        7    0.000    0.000    0.000    0.000 rrule.py:70(__init__)
       17    0.000    0.000    0.000    0.000 results.py:272(__iter__)
        1    0.000    0.000    0.000    0.000 platform.py:842(uname_result)
        3    0.000    0.000    0.000    0.000 _pylab_helpers.py:99(get_active)
       30    0.000    0.000    0.000    0.000 __init__.py:811(__init__)
        1    0.000    0.000    0.000    0.000 font_manager.py:537(_cleanup_fontproperties_init)
        1    0.000    0.000    0.000    0.000 transforms.py:2331(CompositeGenericTransform)
       14    0.000    0.000    0.000    0.000 {built-in method numpy.lib.array_utils.normalize_axis_index}
       36    0.000    0.000    0.000    0.000 backend_agg.py:244(get_canvas_width_height)
        2    0.000    0.000    0.000    0.000 transforms.py:951(y0)
        1    0.000    0.000    0.000    0.000 ipaddress.py:383(_IPAddressBase)
        1    0.000    0.000    0.000    0.000 util.py:15(__config_flags)
        1    0.000    0.000    0.000    0.000 _linalg.py:148(_commonType)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:31(ImagePalette)
        1    0.000    0.000    0.000    0.000 legend_handler.py:633(__init__)
        1    0.000    0.000    0.000    0.000 collections.py:964(_CollectionWithSizes)
        6    0.000    0.000    0.000    0.000 cbook.py:1715(safe_isfinite)
        1    0.000    0.000    0.000    0.000 backend_agg.py:57(RendererAgg)
        1    0.000    0.000    0.000    0.000 _deprecate.py:1(<module>)
        1    0.000    0.000    0.000    0.000 colors.py:1514(BivarColormap)
        6    0.000    0.000    0.000    0.000 six.py:131(__init__)
        5    0.000    0.000    0.000    0.000 core.py:6175(token_map)
        1    0.000    0.000    0.000    0.000 figure.py:1754(_process_projection_requirements)
       37    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        4    0.000    0.000    0.000    0.000 spines.py:209(register_axis)
        8    0.000    0.000    0.000    0.000 _base.py:3091(<genexpr>)
        1    0.000    0.000    0.000    0.000 _base.py:2279(_sci)
        2    0.000    0.000    0.000    0.000 transforms.py:2184(__init__)
        6    0.000    0.000    0.000    0.000 _exceptions.py:17(_display_as_base)
        1    0.000    0.000    0.000    0.000 colorizer.py:325(_ColorizerInterface)
        1    0.000    0.000    0.000    0.000 polar.py:812(PolarAxes)
       42    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        1    0.000    0.000    0.000    0.000 pyplot.py:1132(get_fignums)
        7    0.000    0.000    0.000    0.000 core.py:624(filled)
        1    0.000    0.000    0.000    0.000 axis.py:2593(YAxis)
        1    0.000    0.000    0.000    0.000 widgets.py:3123(RectangleSelector)
        1    0.000    0.000    0.000    0.000 _shape.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _expired_attrs_2_0.py:1(<module>)
        1    0.000    0.000    0.000    0.000 registry.py:15(BackendRegistry)
       10    0.000    0.000    0.000    0.000 core.py:3771(parseImpl)
        1    0.000    0.000    0.000    0.000 dviread.py:1023(_LuatexKpsewhich)
        2    0.000    0.000    0.000    0.000 transforms.py:976(intervalx)
       54    0.000    0.000    0.000    0.000 pathlib.py:560(root)
        1    0.000    0.000    0.000    0.000 widgets.py:2446(SpanSelector)
        1    0.000    0.000    0.000    0.000 _asarray.py:27(require)
        1    0.000    0.000    0.000    0.000 scale.py:422(SymmetricalLogScale)
        1    0.000    0.000    0.000    0.000 __init__.py:958(createLock)
        1    0.000    0.000    0.000    0.000 __init__.py:806(Filterer)
       56    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:477(_broadcast_arrays_dispatcher)
       18    0.000    0.000    0.000    0.000 _ufunc_config.py:430(__init__)
        1    0.000    0.000    0.000    0.000 gridspec.py:521(SubplotSpec)
        1    0.000    0.000    0.000    0.000 pyplot.py:556(draw_if_interactive)
        1    0.000    0.000    0.000    0.000 ast.py:78(_convert_signed_num)
        1    0.000    0.000    0.000    0.000 transforms.py:1881(Affine2D)
        3    0.000    0.000    0.000    0.000 <frozen _collections_abc>:309(__subclasshook__)
       12    0.000    0.000    0.000    0.000 legend_handler.py:62(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:653(RcParams)
        6    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.generic' objects}
        2    0.000    0.000    0.000    0.000 backend_bases.py:1215(__init__)
       23    0.000    0.000    0.000    0.000 overrides.py:173(array_function_from_dispatcher)
        1    0.000    0.000    0.000    0.000 _base.py:1761(set_adjustable)
       38    0.000    0.000    0.000    0.000 {built-in method _ctypes.sizeof}
        2    0.000    0.000    0.000    0.000 transforms.py:946(x0)
        1    0.000    0.000    0.000    0.000 offsetbox.py:709(TextArea)
       48    0.000    0.000    0.000    0.000 backend_bases.py:926(set_snap)
        1    0.000    0.000    0.000    0.000 pyplot.py:449(backend_mod)
       12    0.000    0.000    0.000    0.000 ticker.py:237(set_locs)
        1    0.000    0.000    0.000    0.000 axes3d.py:4044(_Quaternion)
       48    0.000    0.000    0.000    0.000 fromnumeric.py:3614(_round_dispatcher)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:65(BmpImageFile)
        1    0.000    0.000    0.000    0.000 transforms.py:790(null)
        1    0.000    0.000    0.000    0.000 functools.py:861(<lambda>)
       22    0.000    0.000    0.000    0.000 {built-in method sys._getframemodulename}
       78    0.000    0.000    0.000    0.000 signal.py:16(<lambda>)
        8    0.000    0.000    0.000    0.000 core.py:5113(stopOn)
        1    0.000    0.000    0.000    0.000 __init__.py:442(LibraryLoader)
        4    0.000    0.000    0.000    0.000 rcsetup.py:246(validate_fonttype)
        1    0.000    0.000    0.000    0.000 gzip.py:139(GzipFile)
        1    0.000    0.000    0.000    0.000 _binary.py:1(<module>)
       58    0.000    0.000    0.000    0.000 pathlib.py:175(_select_from)
       13    0.000    0.000    0.000    0.000 functools.py:965(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method time.localtime}
        1    0.000    0.000    0.000    0.000 contextlib.py:543(_push_cm_exit)
        4    0.000    0.000    0.000    0.000 typing.py:2285(_strip_annotations)
        1    0.000    0.000    0.000    0.000 transforms.py:2633(__init__)
        1    0.000    0.000    0.000    0.000 tz.py:1545(__init__)
        1    0.000    0.000    0.000    0.000 relativedelta.py:18(relativedelta)
        5    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        1    0.000    0.000    0.000    0.000 artist.py:87(_finalize_rasterization)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1367(__iter__)
       36    0.000    0.000    0.000    0.000 markers.py:374(get_snap_threshold)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
        3    0.000    0.000    0.000    0.000 enum.py:1526(__repr__)
        1    0.000    0.000    0.000    0.000 __init__.py:892(_addHandlerRef)
       24    0.000    0.000    0.000    0.000 {built-in method math.floor}
        1    0.000    0.000    0.000    0.000 __init__.py:1117(StreamHandler)
        1    0.000    0.000    0.000    0.000 transforms.py:1685(TransformWrapper)
        6    0.000    0.000    0.000    0.000 hatch.py:182(_validate_hatch_pattern)
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
        1    0.000    0.000    0.000    0.000 widgets.py:2092(_SelectorWidget)
       43    0.000    0.000    0.000    0.000 multiarray.py:1098(copyto)
        1    0.000    0.000    0.000    0.000 _triangulation.py:8(Triangulation)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:54(_get_platform_and_machine)
        1    0.000    0.000    0.000    0.000 backend_bases.py:3471(_Backend)
        1    0.000    0.000    0.000    0.000 core.py:3603(mask)
       24    0.000    0.000    0.000    0.000 fromnumeric.py:2236(_clip_dispatcher)
        1    0.000    0.000    0.000    0.000 colors.py:1261(MultivarColormap)
        8    0.000    0.000    0.000    0.000 weakref.py:417(__len__)
       40    0.000    0.000    0.000    0.000 fromnumeric.py:3519(_ndim_dispatcher)
        1    0.000    0.000    0.000    0.000 ticker.py:199(Formatter)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1285(_sanity_check)
        1    0.000    0.000    0.000    0.000 colors.py:2445(CenteredNorm)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:80(GifImageFile)
       40    0.000    0.000    0.000    0.000 axis.py:310(<genexpr>)
       14    0.000    0.000    0.000    0.000 dataclasses.py:643(<genexpr>)
       36    0.000    0.000    0.000    0.000 text.py:816(get_color)
        5    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
        1    0.000    0.000    0.000    0.000 {built-in method posix.scandir}
       33    0.000    0.000    0.000    0.000 version.py:471(_parse_letter_version)
       36    0.000    0.000    0.000    0.000 lines.py:624(get_markevery)
        1    0.000    0.000    0.000    0.000 __init__.py:1878(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 widgets.py:3727(PolygonSelector)
        1    0.000    0.000    0.000    0.000 core.py:3722(LineEnd)
       68    0.000    0.000    0.000    0.000 inspect.py:3062(return_annotation)
        1    0.000    0.000    0.000    0.000 streamplot.py:322(Grid)
        1    0.000    0.000    0.000    0.000 abc.py:16(ResourceReader)
        1    0.000    0.000    0.000    0.000 backend_managers.py:32(ToolManager)
        1    0.000    0.000    0.000    0.000 ast.py:74(_convert_num)
        4    0.000    0.000    0.000    0.000 core.py:3536(parseImpl)
       30    0.000    0.000    0.000    0.000 patches.py:821(rotation_point)
        1    0.000    0.000    0.000    0.000 selectors.py:80(BaseSelector)
       41    0.000    0.000    0.000    0.000 {built-in method _operator.index}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1349(_get_parent_path)
        4    0.000    0.000    0.000    0.000 {built-in method math.ceil}
       34    0.000    0.000    0.000    0.000 axis.py:511(formatter)
        1    0.000    0.000    0.000    0.000 colors.py:62(__init__)
        2    0.000    0.000    0.000    0.000 colorizer.py:393(get_alpha)
        4    0.000    0.000    0.000    0.000 figure.py:2802(axes)
       30    0.000    0.000    0.000    0.000 results.py:263(__contains__)
        1    0.000    0.000    0.000    0.000 widgets.py:1537(RadioButtons)
        1    0.000    0.000    0.000    0.000 backend_bases.py:130(RendererBase)
        8    0.000    0.000    0.000    0.000 relativedelta.py:13(<genexpr>)
        1    0.000    0.000    0.000    0.000 _afm.py:358(AFM)
       39    0.000    0.000    0.000    0.000 function_base.py:20(_linspace_dispatcher)
        5    0.000    0.000    0.000    0.000 rcsetup.py:583(_validate_greaterthan_minushalf)
       10    0.000    0.000    0.000    0.000 enum.py:117(_iter_bits_lsb)
        1    0.000    0.000    0.000    0.000 axis3d.py:737(YAxis)
       12    0.000    0.000    0.000    0.000 cbook.py:2325(_is_jax_array)
        2    0.000    0.000    0.000    0.000 <frozen genericpath>:133(_splitext)
        1    0.000    0.000    0.000    0.000 artist.py:1032(_set_alpha_for_array)
        1    0.000    0.000    0.000    0.000 colors.py:98(ColorSequenceRegistry)
        1    0.000    0.000    0.000    0.000 ImageFile.py:113(ImageFile)
        1    0.000    0.000    0.000    0.000 axis3d.py:729(XAxis)
       33    0.000    0.000    0.000    0.000 <frozen codecs>:260(__init__)
        1    0.000    0.000    0.000    0.000 Image.py:3907(Exif)
       33    0.000    0.000    0.000    0.000 results.py:26(__init__)
        4    0.000    0.000    0.000    0.000 numerictypes.py:234(obj2sctype)
        1    0.000    0.000    0.000    0.000 tempfile.py:999(TemporaryDirectory)
        1    0.000    0.000    0.000    0.000 colors.py:563(ColorConverter)
        1    0.000    0.000    0.000    0.000 ImageMath.py:27(_Operand)
        4    0.000    0.000    0.000    0.000 weakref.py:68(__call__)
        4    0.000    0.000    0.000    0.000 mixins.py:53(_unary_method)
        3    0.000    0.000    0.000    0.000 rcsetup.py:591(_validate_greaterequal0_lessequal1)
       24    0.000    0.000    0.000    0.000 core.py:4415(<genexpr>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1332(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:54(__get__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2147(IPv6Interface)
        2    0.000    0.000    0.000    0.000 traceback.py:391(extended_frame_gen)
        1    0.000    0.000    0.000    0.000 traceback.py:248(FrameSummary)
       79    0.000    0.000    0.000    0.000 signal.py:21(<lambda>)
        2    0.000    0.000    0.000    0.000 figure.py:220(get_children)
       24    0.000    0.000    0.000    0.000 dataclasses.py:683(_is_classvar)
        1    0.000    0.000    0.000    0.000 selectors.py:206(_BaseSelectorImpl)
        1    0.000    0.000    0.000    0.000 polar.py:32(PolarTransform)
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:288(__subclasshook__)
        4    0.000    0.000    0.000    0.000 text.py:1160(set_fontweight)
        1    0.000    0.000    0.000    0.000 __init__.py:1353(Manager)
        4    0.000    0.000    0.000    0.000 core.py:5236(_generateDefaultName)
        2    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
        6    0.000    0.000    0.000    0.000 __init__.py:45(__init__)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:23(GimpPaletteFile)
        1    0.000    0.000    0.000    0.000 registry.py:95(_backend_module_name)
       36    0.000    0.000    0.000    0.000 markers.py:355(get_alt_path)
        1    0.000    0.000    0.000    0.000 colors.py:1003(LinearSegmentedColormap)
