It took 4.01598596572876 seconds to calculate the Mandelbrot graph.
It took 0.10479903221130371 seconds to dump the image.
         1272295 function calls (1250243 primitive calls) in 4.610 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4409    0.003    0.000    0.006    0.000 artist.py:1549(aliased_name)
      663    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap>:304(acquire)
      100    0.000    0.000    0.006    0.000 pyplot.py:209(_add_pyplot_note)
        1    0.000    0.000    0.006    0.006 textpath.py:1(<module>)
       60    0.000    0.000    0.006    0.000 typing.py:1261(__or__)
18224/18190    0.003    0.000    0.006    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.006    0.006 PngImagePlugin.py:1304(_save)
        1    0.000    0.000    0.006    0.006 ImageFile.py:624(_save)
        1    0.000    0.000    0.006    0.006 ImageFile.py:652(_encode_tile)
        1    0.006    0.006    0.006    0.006 {method 'encode' of 'ImagingEncoder' objects}
      148    0.000    0.000    0.006    0.000 markers.py:220(__init__)
       16    0.000    0.000    0.006    0.000 axis.py:1606(_copy_tick_props)
16010/16007    0.005    0.000    0.006    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.006    0.006 numeric.py:1(<module>)
        1    0.000    0.000    0.006    0.006 axis3d.py:1(<module>)
      148    0.000    0.000    0.005    0.000 markers.py:299(_set_marker)
      188    0.000    0.000    0.005    0.000 colors.py:325(_to_rgba_no_colorcycle)
      333    0.001    0.000    0.005    0.000 artist.py:1188(_update_props)
      482    0.003    0.000    0.005    0.000 enum.py:254(__set_name__)
       48    0.000    0.000    0.005    0.000 lines.py:1352(update_from)
        2    0.000    0.000    0.005    0.003 axis.py:2438(_update_label_position)
        1    0.000    0.000    0.005    0.005 colorizer.py:1(<module>)
        1    0.000    0.000    0.005    0.005 quiver.py:1(<module>)
        1    0.000    0.000    0.005    0.005 helpers.py:1(<module>)
        1    0.000    0.000    0.005    0.005 common.py:1(<module>)
        2    0.000    0.000    0.005    0.002 axis.py:2665(_update_label_position)
      346    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.005    0.005 _char_codes.py:1(<module>)
        2    0.000    0.000    0.005    0.002 axis.py:845(clear)
       50    0.000    0.000    0.005    0.000 typing.py:514(__getitem__)
       48    0.000    0.000    0.005    0.000 font_manager.py:1293(findfont)
        2    0.005    0.002    0.005    0.002 image.py:219(_rgb_to_rgba)
      108    0.005    0.000    0.005    0.000 lines.py:758(draw)
        1    0.000    0.000    0.005    0.005 common.py:8(pyparsing_common)
        2    0.000    0.000    0.005    0.002 colors.py:717(__call__)
       60    0.001    0.000    0.005    0.000 lines.py:301(__init__)
       19    0.000    0.000    0.005    0.000 rcsetup.py:814(validate_cycler)
      265    0.001    0.000    0.005    0.000 overrides.py:142(decorator)
        2    0.001    0.000    0.005    0.002 colors.py:745(_get_rgba_and_mask)
      223    0.000    0.000    0.005    0.000 artist.py:146(<lambda>)
      286    0.000    0.000    0.005    0.000 artist.py:1226(_internal_update)
     1415    0.002    0.000    0.004    0.000 copy.py:61(copy)
      223    0.000    0.000    0.004    0.000 artist.py:1237(set)
       46    0.000    0.000    0.004    0.000 core.py:3146(mayReturnEmpty)
    48/27    0.000    0.000    0.004    0.000 functools.py:979(__get__)
        2    0.000    0.000    0.004    0.002 axis.py:761(_set_scale)
     7873    0.002    0.000    0.004    0.000 enum.py:726(__call__)
  2800/48    0.002    0.000    0.004    0.000 copy.py:118(deepcopy)
        2    0.000    0.000    0.004    0.002 scale.py:120(set_default_locators_and_formatters)
    42/21    0.000    0.000    0.004    0.000 core.py:3119(re)
        1    0.000    0.000    0.004    0.004 _array_like.py:1(<module>)
      967    0.003    0.000    0.004    0.000 inspect.py:2998(__init__)
        1    0.000    0.000    0.004    0.004 scale.py:1(<module>)
        1    0.000    0.000    0.004    0.004 category.py:1(<module>)
   192/48    0.001    0.000    0.004    0.000 copy.py:217(_deepcopy_dict)
       50    0.000    0.000    0.004    0.000 typing.py:746(Literal)
       64    0.000    0.000    0.004    0.000 core.py:1449(__add__)
        2    0.000    0.000    0.004    0.002 ticker.py:452(__init__)
        1    0.000    0.000    0.004    0.004 __init__.py:326(__getattr__)
        2    0.000    0.000    0.004    0.002 ticker.py:575(set_useMathText)
     9327    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
       65    0.000    0.000    0.004    0.000 core.py:4081(__init__)
      331    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        1    0.001    0.001    0.004    0.004 font_manager.py:1453(_findfont_cached)
       24    0.000    0.000    0.004    0.000 ticker.py:2228(__call__)
      317    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       48    0.000    0.000    0.004    0.000 __init__.py:1403(_add_data_doc)
       61    0.002    0.000    0.004    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.004    0.004 PngImagePlugin.py:1(<module>)
      935    0.001    0.000    0.004    0.000 copy.py:247(_reconstruct)
       13    0.000    0.000    0.004    0.000 rcsetup.py:426(validate_font_properties)
       22    0.001    0.000    0.004    0.000 typing.py:2780(__new__)
      582    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
       10    0.000    0.000    0.004    0.000 _fontconfig_pattern.py:77(parse_fontconfig_pattern)
       24    0.000    0.000    0.004    0.000 ticker.py:2232(tick_values)
    38699    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
        3    0.000    0.000    0.004    0.001 patches.py:2293(__init_subclass__)
        1    0.000    0.000    0.004    0.004 _parser.py:1(<module>)
        6    0.000    0.000    0.004    0.001 patches.py:2335(pprint_styles)
      266    0.001    0.000    0.004    0.000 typing.py:262(_collect_parameters)
